10KB | 5M | 2 | Morning | 58470.40
10KB | 5M | 2 | Morning | 59904.00
10KB | 5M | 2 | Morning | 30376.96
10KB | 100M | 2 | Morning | 58880.00
10KB | 100M | 2 | Morning | 30796.80
10KB | 100M | 2 | Morning | 31723.52
1MB | 5M | 2 | Morning | 7408.64
1MB | 5M | 2 | Morning | 8314.88
1MB | 5M | 2 | Morning | 7838.72
1MB | 100M | 2 | Morning | 7408.64
1MB | 100M | 2 | Morning | 7162.88
1MB | 100M | 2 | Morning | 5652.48
100MB | 5M | 2 | Morning | 4945.92
100MB | 5M | 2 | Morning | 4439.04
100MB | 5M | 2 | Morning | 4444.16
100MB | 100M | 2 | Morning | 4956.16
100MB | 100M | 2 | Morning | 5120.00
100MB | 100M | 2 | Morning | 5898.24
10KB | 5M | 2 | Afternoon | 57344.00
10KB | 5M | 2 | Afternoon | 57600.00
10KB | 5M | 2 | Afternoon | 39424.00
10KB | 100M | 2 | Afternoon | 66201.60
10KB | 100M | 2 | Afternoon | 63283.20
10KB | 100M | 2 | Afternoon | 61235.20
1MB | 5M | 2 | Afternoon | 9999.36
1MB | 5M | 2 | Afternoon | 4147.20
1MB | 5M | 2 | Afternoon | 3599.36
1MB | 100M | 2 | Afternoon | 9036.80
1MB | 100M | 2 | Afternoon | 4044.80
1MB | 100M | 2 | Afternoon | 6430.72
100MB | 5M | 2 | Afternoon | 4904.96
100MB | 5M | 2 | Afternoon | 5007.36
100MB | 5M | 2 | Afternoon | 4659.20
100MB | 100M | 2 | Afternoon | 6656.00
100MB | 100M | 2 | Afternoon | 5862.40
100MB | 100M | 2 | Afternoon | 7741.44
10KB | 5M | 2 | Evening | 30468.30
10KB | 5M | 2 | Evening | 3297.28
10KB | 5M | 2 | Evening | 3322.88
10KB | 100M | 2 | Evening | 31114.24
10KB | 100M | 2 | Evening | 2426.88
10KB | 100M | 2 | Evening | 1641.96
1MB | 5M | 2 | Evening | 1551.36
1MB | 5M | 2 | Evening | 1510.40
1MB | 5M | 2 | Evening | 839.00
1MB | 100M | 2 | Evening | 1300.48
1MB | 100M | 2 | Evening | 2539.52
1MB | 100M | 2 | Evening | 2995.20
100MB | 5M | 2 | Evening | 712.00
100MB | 5M | 2 | Evening | 1100.80
100MB | 5M | 2 | Evening | 666.00
100MB | 100M | 2 | Evening | 657.00
100MB | 100M | 2 | Evening | 808.50
100MB | 100M | 2 | Evening | 1090.30
