1MB | 5M | 1 | Morning | 3870.72
1MB | 5M | 1 | Morning | 4188.16
1MB | 5M | 1 | Morning | 8704.00
1MB | 100M | 1 | Morning | 9840.64
1MB | 100M | 1 | Morning | 7833.60
1MB | 100M | 1 | Morning | 5918.72
1MB | 5M | 2 | Morning | 7408.64
1MB | 5M | 2 | Morning | 8314.88
1MB | 5M | 2 | Morning | 7838.72
1MB | 100M | 2 | Morning | 7408.64
1MB | 100M | 2 | Morning | 7162.88
1MB | 100M | 2 | Morning | 5652.48
1MB | 5M | 3 | Morning | 6116.69
1MB | 5M | 3 | Morning | 4747.94
1MB | 5M | 3 | Morning | 5212.16
1MB | 100M | 3 | Morning | 6120.10
1MB | 100M | 3 | Morning | 3819.52
1MB | 100M | 3 | Morning | 5379.41
1MB | 5M | 1 | Afternoon | 5601.28
1MB | 5M | 1 | Afternoon | 8744.96
1MB | 5M | 1 | Afternoon | 8458.24
1MB | 100M | 1 | Afternoon | 7475.20
1MB | 100M | 1 | Afternoon | 8478.72
1MB | 100M | 1 | Afternoon | 8683.52
1MB | 5M | 2 | Afternoon | 9999.36
1MB | 5M | 2 | Afternoon | 4147.20
1MB | 5M | 2 | Afternoon | 3599.36
1MB | 100M | 2 | Afternoon | 9036.80
1MB | 100M | 2 | Afternoon | 4044.80
1MB | 100M | 2 | Afternoon | 6430.72
1MB | 5M | 3 | Afternoon | 6645.76
1MB | 5M | 3 | Afternoon | 8622.08
1MB | 5M | 3 | Afternoon | 7464.96
1MB | 100M | 3 | Afternoon | 9359.36
1MB | 100M | 3 | Afternoon | 10581.33
1MB | 100M | 3 | Afternoon | 9895.25
1MB | 5M | 1 | Evening | 1996.80
1MB | 5M | 1 | Evening | 1454.08
1MB | 5M | 1 | Evening | 687.00
1MB | 100M | 1 | Evening | 790.00
1MB | 100M | 1 | Evening | 2048.00
1MB | 100M | 1 | Evening | 1955.84
1MB | 5M | 2 | Evening | 1551.36
1MB | 5M | 2 | Evening | 1510.40
1MB | 5M | 2 | Evening | 839.00
1MB | 100M | 2 | Evening | 1300.48
1MB | 100M | 2 | Evening | 2539.52
1MB | 100M | 2 | Evening | 2995.20
1MB | 5M | 3 | Evening | 6157.65
1MB | 5M | 3 | Evening | 2809.17
1MB | 5M | 3 | Evening | 2131.37
1MB | 100M | 3 | Evening | 2174.29
1MB | 100M | 3 | Evening | 2416.64
1MB | 100M | 3 | Evening | 2914.98
