10KB | 5M | 1 | Morning | 88268.80
10KB | 5M | 1 | Morning | 59187.20
10KB | 5M | 1 | Morning | 50073.60
10KB | 100M | 1 | Morning | 2529.28
10KB | 100M | 1 | Morning | 54988.80
10KB | 100M | 1 | Morning | 58880.00
1MB | 5M | 1 | Morning | 3870.72
1MB | 5M | 1 | Morning | 4188.16
1MB | 5M | 1 | Morning | 8704.00
1MB | 100M | 1 | Morning | 9840.64
1MB | 100M | 1 | Morning | 7833.60
1MB | 100M | 1 | Morning | 5918.72
100MB | 5M | 1 | Morning | 4945.92
100MB | 5M | 1 | Morning | 4812.80
100MB | 5M | 1 | Morning | 5048.32
100MB | 100M | 1 | Morning | 4669.44
100MB | 100M | 1 | Morning | 7669.76
100MB | 100M | 1 | Morning | 7034.88
10KB | 5M | 1 | Afternoon | 2560.00
10KB | 5M | 1 | Afternoon | 66355.20
10KB | 5M | 1 | Afternoon | 28876.80
10KB | 100M | 1 | Afternoon | 65433.60
10KB | 100M | 1 | Afternoon | 40755.20
10KB | 100M | 1 | Afternoon | 49664.00
1MB | 5M | 1 | Afternoon | 5601.28
1MB | 5M | 1 | Afternoon | 8744.96
1MB | 5M | 1 | Afternoon | 8458.24
1MB | 100M | 1 | Afternoon | 7475.20
1MB | 100M | 1 | Afternoon | 8478.72
1MB | 100M | 1 | Afternoon | 8683.52
100MB | 5M | 1 | Afternoon | 4792.32
100MB | 5M | 1 | Afternoon | 5130.24
100MB | 5M | 1 | Afternoon | 5109.76
100MB | 100M | 1 | Afternoon | 7311.36
100MB | 100M | 1 | Afternoon | 7905.28
100MB | 100M | 1 | Afternoon | 6574.08
10KB | 5M | 1 | Evening | 1413.12
10KB | 5M | 1 | Evening | 53657.60
10KB | 5M | 1 | Evening | 58368.00
10KB | 100M | 1 | Evening | 51404.80
10KB | 100M | 1 | Evening | 24.90
10KB | 100M | 1 | Evening | 39424.00
1MB | 5M | 1 | Evening | 1996.80
1MB | 5M | 1 | Evening | 1454.08
1MB | 5M | 1 | Evening | 687.00
1MB | 100M | 1 | Evening | 790.00
1MB | 100M | 1 | Evening | 2048.00
1MB | 100M | 1 | Evening | 1955.84
100MB | 5M | 1 | Evening | 2017.28
100MB | 5M | 1 | Evening | 1361.92
100MB | 5M | 1 | Evening | 752.00
100MB | 100M | 1 | Evening | 706.00
100MB | 100M | 1 | Evening | 549.00
100MB | 100M | 1 | Evening | 586.00
